cdr3_found_count,count
1,450
2,182
3,111
4,69
5,47
7,22
8,19
10,15
6,14
11,9
9,9
13,8
14,6
12,6
16,5
17,5
22,3
31,3
30,3
26,3
24,3
39,3
20,3
19,3
62,2
54,2
50,2
46,2
45,2
37,2
73,2
44,2
41,2
40,2
408,2
38,2
36,2
29,2
15,2
21,2
25,2
27,2
18,2
129,2
34,2
1043,1
137,1
149,1
153,1
154,1
159,1
163,1
165,1
169,1
170,1
204,1
232,1
245,1
278,1
3485,1
902,1
339,1
389,1
390,1
122,1
4659,1
422,1
444,1
465,1
539,1
1411,1
550,1
1641,1
850,1
303,1
64,1
121,1
117,1
23,1
28,1
32,1
33,1
35,1
47,1
49,1
52,1
57,1
59,1
60,1
61,1
65,1
68,1
69,1
71,1
72,1
77,1
82,1
84,1
87,1
89,1
90,1
92,1
100,1
101,1
103,1
110,1
112,1
12595,1
